group,gap,se,ci_lower,ci_upper,n
1,-0.21034624376858443,0.011798625404473781,-0.23347154956135305,-0.18722093797581582,12728
2,-0.08736115530698071,0.032889641726385865,-0.15182485309069702,-0.022897457523264414,1883
4,-0.15345994260181198,0.009633883069967795,-0.17234235341894885,-0.1345775317846751,19117
5,-0.16845128784717975,0.015270508861423377,-0.19838148521556956,-0.13852109047878994,7498
6,-0.12728308591711346,0.004566140226268784,-0.13623272076060028,-0.11833345107362664,111897
8,-0.16817278915568004,0.009995779203735932,-0.18776451639500247,-0.14858106191635762,18696
9,-0.1500061105213565,0.014224554148285709,-0.1778862366519965,-0.12212598439071652,10182
10,-0.11647663172674497,0.027493585432659586,-0.17036405917475775,-0.06258920427873219,2402
11,-0.05327746524656496,0.02623241257676454,-0.10469299389702345,-0.0018619365961064643,2756
12,-0.1391845914022955,0.0060658091857351245,-0.15107357740633634,-0.12729560539825466,52186
13,-0.16156083259289314,0.0082515842473994,-0.17773393771779597,-0.1453877274679903,30170
15,-0.16048593098858943,0.02049404895442057,-0.20065426693925376,-0.1203175950379251,3929
16,-0.2183599828498341,0.018044759777157065,-0.25372771201306193,-0.18299225368660627,5045
17,-0.17213920333249588,0.0074230115447477905,-0.18668830596020156,-0.1575901007047902,36499
18,-0.20407883636488774,0.009429075061413376,-0.22255982348525796,-0.18559784924451753,19087
19,-0.19135335972865106,0.013253247437448958,-0.21732972470605103,-0.1653769947512511,8548
20,-0.1557105330052701,0.014862108628213551,-0.18484026591656866,-0.12658080009397155,7802
21,-0.155553001594467,0.011925313260767753,-0.1789266155855718,-0.1321793876033622,11933
22,-0.21133326525012658,0.013787088787729263,-0.23835595927407593,-0.18431057122617722,10755
23,-0.12859000983754398,0.022277533837265162,-0.1722539761585837,-0.08492604351650426,3230
24,-0.10165355592334097,0.010449380964008385,-0.1221343426127974,-0.08117276923388453,17972
25,-0.1588709297420004,0.009680483698598585,-0.17784467779125362,-0.13989718169274717,21372
26,-0.1543579110589004,0.008249713018065548,-0.17052734857430887,-0.13818847354349192,25995
27,-0.10904493987554346,0.010165714232021245,-0.1289697397703051,-0.08912013998078183,15633
28,-0.22844453341944632,0.016343650995741543,-0.26047808937109973,-0.1964109774677929,6844
29,-0.19523186227134448,0.01011777467330013,-0.21506270063101274,-0.17540102391167622,16945
30,-0.1711449605411941,0.0252717898746559,-0.22067766869551966,-0.12161225238686854,2644
31,-0.20781124385615216,0.017596386553641104,-0.24230016150128872,-0.1733223262110156,5417
32,-0.12422684541590538,0.014281222991765968,-0.15221804247976667,-0.09623564835204408,8762
33,-0.22391306407758135,0.02063605550466221,-0.26435973286671927,-0.1834663952884434,3768
34,-0.17057571382252432,0.009061891682864302,-0.18833702152093834,-0.1528144061241103,27396
35,-0.12976006504415005,0.01953527137231461,-0.1680491969338867,-0.09147093315441342,5025
36,-0.12245461770717882,0.006255076315908843,-0.13471456728636014,-0.11019466812799748,56610
37,-0.1464628369809222,0.008114775064007191,-0.16236779610637628,-0.1305578778554681,29079
38,-0.2820856903088357,0.024551648368846025,-0.3302069211117739,-0.23396445950589748,2168
39,-0.15117678637549808,0.0073443617805756785,-0.16557173546542642,-0.13678183728556975,32779
40,-0.20246030623313588,0.013865754905547782,-0.22963718584800952,-0.17528342661826224,9625
41,-0.12107099939240698,0.01240619475602656,-0.14538714111421905,-0.09675485767059493,12187
42,-0.15863550827205788,0.007422874258213968,-0.17318434181815726,-0.1440866747259585,34496
44,-0.08490850893641423,0.024158906043493508,-0.13225996478166152,-0.037557053091166956,2818
45,-0.16526924651133593,0.01166121926383848,-0.18812523626845934,-0.1424132567542125,13847
46,-0.14655170574406423,0.024877771338608252,-0.1953121375677364,-0.09779127392039205,2419
47,-0.17540171181311975,0.009786909286226109,-0.19458405401412293,-0.15621936961211658,18851
48,-0.20626373433536585,0.005103989678475773,-0.21626755410517837,-0.19625991456555333,82981
49,-0.27430892079705976,0.01293302087832255,-0.29965764171857195,-0.24896019987554757,10229
50,-0.06928560710601997,0.03013289192963444,-0.1283460752881035,-0.010225138923936464,1643
51,-0.18477074581333947,0.009158984433245898,-0.20272235530250143,-0.1668191363241775,25449
53,-0.20550032921238914,0.009345553171504149,-0.2238176134285373,-0.187183044996241,24074
54,-0.1510077941059413,0.019565249130787214,-0.18935568240228426,-0.11265990580959837,4337
55,-0.19882138814949082,0.009794187710722534,-0.218017996062507,-0.17962478023647466,16071
56,-0.15362029312260045,0.031701964347116585,-0.21575614324294895,-0.09148444300225195,1505
