scope,year,old_m5_female_coef,rebuilt_m5_female_coef,m5_delta,old_oaxaca_unexplained_pct,rebuilt_oaxaca_unexplained_pct,oaxaca_unexplained_pct_delta
year,2015,-0.1486134911056577,-0.1531772225988658,-0.004563731493208101,73.15513212985883,73.5326159413964,0.37748381153757293
year,2016,-0.142305636822958,-0.146803269535194,-0.004497632712235994,73.79465615172207,74.51956543876175,0.7249092870396794
year,2017,-0.1424661962993368,-0.1467219613385569,-0.004255765039220094,73.61203534984024,73.87380708061039,0.2617717307701497
year,2018,-0.1432119759412169,-0.1460547877301927,-0.002842811788975802,74.6824327227143,74.38013972923625,-0.30229299347804783
year,2019,-0.1454400527306428,-0.1492502024832504,-0.0038101497526076,83.03410397466476,81.76802100710542,-1.266082967559342
year,2021,-0.1500962945866803,-0.1532953381205728,-0.0031990435338924983,96.483432208951,93.62369732672988,-2.859734882221119
year,2022,-0.1467678673343679,-0.1480929759036976,-0.0013251085693297138,91.68834555899004,88.48334521831912,-3.205000340670921
year,2023,-0.1407623471371359,-0.141944123888933,-0.0011817767517970923,90.18776505957976,87.81123215351225,-2.37653290606751
pooled,,-0.2068073527061215,-0.211031440006017,-0.004224087299895513,82.87510936628212,81.54418897156397,-1.3309203947181487
