measure,subgroup,latest_date,latest_value,trailing3_mean
expected_offer_wage,Mean,2025-11,65.03311157226562,66.10605112711589
expected_offer_wage,<=45 years,2025-11,71.37211608886719,69.89378611246745
expected_offer_wage,>45 years,2025-11,58.8626594543457,62.147056579589844
expected_offer_wage,Less than college degree,2025-11,47.73822021484375,49.22846476236979
expected_offer_wage,College degree or higher,2025-11,87.97039031982422,86.49708557128906
expected_offer_wage,Women,2025-11,55.90924835205078,57.6502799987793
expected_offer_wage,Men,2025-11,73.3722152709961,73.95476531982422
expected_offer_wage,<=$60K,2025-11,40.66984558105469,40.264625549316406
expected_offer_wage,>$60K,2025-11,83.04846954345703,82.73435974121094
reservation_wage,Mean,2025-11,80.43389129638672,79.04733784993489
reservation_wage,<=45 years,2025-11,81.8163833618164,80.75204213460286
reservation_wage,>45 years,2025-11,79.18900299072266,77.4565938313802
reservation_wage,Less than college degree,2025-11,64.3735580444336,62.67274729410807
reservation_wage,College degree or higher,2025-11,101.31256866455078,99.65747833251953
reservation_wage,Women,2025-11,69.7811279296875,69.9151382446289
reservation_wage,Men,2025-11,91.1178970336914,87.83543904622395
reservation_wage,<=$60K,2025-11,48.26772689819336,49.836813608805336
reservation_wage,>$60K,2025-11,100.83745574951172,97.51620737711589
