block,delta,se,pct_of_explained,year,specification
geography,-0.0013974114015449582,4.8438791349166195e-05,1.126920181846628,2015,reproductive_M1_to_M7
job_sorting,-0.08324629477958248,0.002157880497757784,67.13264937394095,2015,reproductive_M1_to_M7
schedule,0.007973162441617908,0.00033793969908335885,-6.429829940321754,2015,reproductive_M1_to_M7
family,5.309002475625867e-05,0.0017147218925761022,-0.04281360541814656,2015,reproductive_M1_to_M7
reproductive,-0.035068306519532993,0.015794690177183855,28.280277602110278,2015,reproductive_M1_to_M7
job_context,-0.01231693525865671,0.0015982544505297148,9.932796387758685,2015,reproductive_M1_to_M7
TOTAL,-0.12400269549304635,,100.0,2015,reproductive_M1_to_M7
geography,-0.001690175640784316,4.480402758615176e-05,1.3403051160098571,2016,reproductive_M1_to_M7
job_sorting,-0.08229259339968577,0.0021817398091844376,65.25782367336397,2016,reproductive_M1_to_M7
schedule,0.008882415738300491,0.00032467783470161815,-7.043733780854934,2016,reproductive_M1_to_M7
family,0.0025316279579356564,0.0017800069415321784,-2.0075747289081596,2016,reproductive_M1_to_M7
reproductive,-0.038655436318039624,0.01530827451290647,30.653665695134258,2016,reproductive_M1_to_M7
job_context,-0.014879635196680407,0.0015733365256935773,11.799514025191217,2016,reproductive_M1_to_M7
TOTAL,-0.12610379685903442,,100.0,2016,reproductive_M1_to_M7
geography,-0.0016150649318892759,4.956347493269461e-05,1.317372579974507,2017,reproductive_M1_to_M7
job_sorting,-0.08419969736120825,0.002145741304009025,68.67982231281096,2017,reproductive_M1_to_M7
schedule,0.007813046331451266,0.00032389066493176754,-6.372928295263085,2017,reproductive_M1_to_M7
family,0.002914998933565954,0.0017117477496520982,-2.3776998620374887,2017,reproductive_M1_to_M7
reproductive,-0.03511868746175085,0.014052691722228906,28.64553306391575,2017,reproductive_M1_to_M7
job_context,-0.012392025913723138,0.0015608544699753236,10.107900200628954,2017,reproductive_M1_to_M7
TOTAL,-0.122597430403518,,100.0,2017,reproductive_M1_to_M7
geography,-0.001970302985832098,4.626625209997973e-05,1.5996204944659351,2018,reproductive_M1_to_M7
job_sorting,-0.08130133281047919,0.002059037921916141,66.00572557936567,2018,reproductive_M1_to_M7
schedule,0.007780804054813889,0.0003183087900999997,-6.316964303968516,2018,reproductive_M1_to_M7
family,-0.001129436421900969,0.0017364518380353783,0.9169501648529819,2018,reproductive_M1_to_M7
reproductive,-0.03322386587390548,0.013627879509602828,26.973301639109152,2018,reproductive_M1_to_M7
job_context,-0.013329018135090938,0.001502844922801531,10.821366426034798,2018,reproductive_M1_to_M7
TOTAL,-0.12317315217256719,,100.0,2018,reproductive_M1_to_M7
geography,-0.002120304175084035,5.236418317170221e-05,1.7838961007960188,2019,reproductive_M1_to_M7
job_sorting,-0.08264044023961098,0.0022273371198018414,69.52868406518401,2019,reproductive_M1_to_M7
schedule,0.02209768426396263,0.00032246715501246283,-18.59165928093413,2019,reproductive_M1_to_M7
family,0.008363040920969655,0.001925140387432386,-7.036158427186058,2019,reproductive_M1_to_M7
reproductive,-0.04322121090839178,0.014824497876305055,36.36372107228749,2019,reproductive_M1_to_M7
job_context,-0.021336822981440864,0.001512938099941567,17.951516469781367,2019,reproductive_M1_to_M7
TOTAL,-0.11885805311968013,,100.0,2019,reproductive_M1_to_M7
geography,-0.002135858133629653,5.9923545147645174e-05,2.066921184779781,2021,reproductive_M1_to_M7
job_sorting,-0.08051401658645371,0.00240227372533665,77.91534649890168,2021,reproductive_M1_to_M7
schedule,0.03273223918597212,0.0003219258730100917,-31.67577356076202,2021,reproductive_M1_to_M7
family,0.0010970867268949725,0.002056715639135699,-1.0616771599462034,2021,reproductive_M1_to_M7
reproductive,-0.03275500513065376,0.01610346967824286,31.697804711901277,2021,reproductive_M1_to_M7
job_context,-0.02175969412844922,0.0016615113324022306,21.0573783250243,2021,reproductive_M1_to_M7
TOTAL,-0.10333524806642382,,100.0,2021,reproductive_M1_to_M7
geography,-0.00231767442059433,4.968650101547465e-05,2.015318046602712,2022,reproductive_M1_to_M7
job_sorting,-0.08727949659774614,0.002073181554297361,75.89329330680201,2022,reproductive_M1_to_M7
schedule,0.02584973911928009,0.00029201707616844996,-22.47746503311636,2022,reproductive_M1_to_M7
family,6.093613251340014e-05,0.001782204960393915,-0.052986600038903695,2022,reproductive_M1_to_M7
reproductive,-0.0359470059829803,0.013948250386002404,31.257474835597755,2022,reproductive_M1_to_M7
job_context,-0.015369409304854273,0.001470060839845962,13.364365444286012,2022,reproductive_M1_to_M7
TOTAL,-0.11500291105422836,,100.0,2022,reproductive_M1_to_M7
geography,-0.002119052411424156,4.486479180508612e-05,1.7549313143273368,2023,reproductive_M1_to_M7
job_sorting,-0.09068197183650525,0.0020508997809364706,75.0999036941605,2023,reproductive_M1_to_M7
schedule,0.024803506702074964,0.0002749674788434223,-20.54146956532569,2023,reproductive_M1_to_M7
family,-0.000738818769177733,0.0017871917992926501,0.6118660334462381,2023,reproductive_M1_to_M7
reproductive,-0.03643334589646951,0.013826118890355376,30.172929774994454,2023,reproductive_M1_to_M7
job_context,-0.015578770683668886,0.0014361835027018213,12.90183874834931,2023,reproductive_M1_to_M7
TOTAL,-0.12074845289522836,,100.0,2023,reproductive_M1_to_M7
