year,model,employment_female_prob_pp,female_conditional_log_earnings_coef,female_conditional_earnings_pct,combined_expected_earnings_male,combined_expected_earnings_female,combined_expected_earnings_gap_dollars,combined_expected_earnings_gap_pct,observed_total_earnings_gap_pct,observed_worker_hourly_gap_pct,ipw_worker_hourly_gap_pct,employment_model_female_coef,n_total,n_employed
2015,S0,-10.171457816743269,-0.3612052967141824,-30.31640743446752,50198.23285683203,30637.313767330234,19560.919089501796,38.96734601253903,39.037596875811886,20.12488967232213,20.12488967232213,-0.5791221833550352,1164598,886110
2015,S1,-11.80641319932883,-0.4317197655185278,-35.06086669677799,51436.01179720832,29319.519680861664,22116.492116346653,42.99806953062995,39.037596875811886,20.12488967232213,21.16072156914153,-0.7166379668271948,1164598,886110
2015,S2,-9.457642165978962,-0.4130133455795129,-33.83465473798356,50423.73069645489,30096.062522259544,20327.668174195347,40.31369336109935,39.037596875811886,20.12488967232213,21.24914265207335,-0.5820828428795235,1164598,886110
2016,S0,-9.93964565050426,-0.3501975466009206,-29.54511052689187,52134.9223074138,32306.986423313017,19827.935884100785,38.031965919475766,38.31201046647402,19.22718888575361,19.22718888575362,-0.5784618724623111,1158341,890199
2016,S1,-11.545790366858927,-0.4220794236177456,-34.4318039308079,53447.08277708046,30895.11979979746,22551.962977283,42.19493713313365,38.31201046647402,19.22718888575361,20.402822130593524,-0.7147701976322546,1158341,890199
2016,S2,-9.180309063042282,-0.4035329687123535,-33.20439952134139,52403.80918562556,31710.314640192897,20693.494545432663,39.48853120988182,38.31201046647402,19.22718888575361,20.41710959983769,-0.5760719194951484,1158341,890199
2017,S0,-9.808176291923177,-0.3483821886407581,-29.417093519264515,54305.32362849947,33804.75384293594,20500.56978556353,37.75057105967566,37.49853463033671,18.96646068101736,18.96646068101737,-0.5827156066179506,1171131,907395
2017,S1,-11.44240407321592,-0.4233116805120623,-34.51255103165863,55739.992641385084,32237.217109910285,23502.7755314748,42.16501369615319,37.49853463033671,18.96646068101736,19.926295326432843,-0.7230801478504224,1171131,907395
2017,S2,-9.195016356727164,-0.4027296428251678,-33.15071932786904,54624.311657268496,33090.64236366886,21533.669293599633,39.42140164384898,37.49853463033671,18.96646068101736,19.913129692406105,-0.5892561948640321,1171131,907395
2018,S0,-9.666760714197553,-0.3419696353347929,-28.963022547792793,56662.70150364131,35608.09175534736,21054.609748293944,37.157793733044855,37.23083006942175,18.951340373182397,18.951340373182376,-0.590452589350655,1168624,913444
2018,S1,-11.2468882562789,-0.415333065736888,-33.987961939457975,58005.472927777184,33935.69736990091,24069.775557876274,41.49569746262674,37.23083006942175,18.951340373182397,20.013211884488953,-0.7295682446924469,1168624,913444
2018,S2,-8.940238010322085,-0.3956939985792624,-32.67873315451565,56860.49025880739,34822.933304005324,22037.556954802065,38.757240492467545,37.23083006942175,18.951340373182397,19.99195491238791,-0.5881531654284088,1168624,913444
2019,S0,-9.072195426441798,-0.3425534821441214,-29.004485155339232,58953.048587598394,37339.08384486234,21613.964742736058,36.663014484517866,36.485038883677426,17.36676372445366,17.36676372445364,-0.5655997277898626,1159641,913848
2019,S1,-10.679460851890996,-0.4156623920790649,-34.00969786318952,60453.126234575415,35609.97459440395,24843.15164017146,41.0948997803239,36.485038883677426,17.36676372445366,18.343291521166535,-0.7066478668425417,1159641,913848
2019,S2,-8.490653578265356,-0.3950081034192708,-32.63254198408261,59264.83826392851,36523.2145314549,22741.623732473618,38.37287740699916,36.485038883677426,17.36676372445366,18.3382170691559,-0.5693706206971738,1159641,913848
2021,S0,-8.68301408224349,-0.3238395490540417,-27.66337021242451,62870.42029198358,40662.43514059674,22207.98515138684,35.32342403350931,35.22133777499008,17.139894158351,17.139894158350998,-0.5055293018456545,1158694,884726
2021,S1,-10.57498778706145,-0.4024584040904818,-33.13258475427664,64987.77863783567,38774.92153178396,26212.857106051702,40.33505630671098,35.22133777499008,17.139894158351,18.071198950207705,-0.657727132109516,1158694,884726
2021,S2,-8.37232694364339,-0.3830666893878037,-31.823256888272045,63745.858600861255,39749.65378188916,23996.204818972095,37.64355104105208,35.22133777499008,17.139894158351,17.962866617021188,-0.528049453575578,1158694,884726
2022,S0,-8.751530113093875,-0.3206893200439001,-27.435133953279724,0.069730609950891,0.04536642868551,0.0243641812653809,34.94043904468906,34.63469493415526,19.72706366677254,19.727063666772555,-0.5594867211922202,1200180,940793
2022,S1,-10.526189223844822,-0.398552862747106,-32.87092066214715,0.0718561753120672,0.043208212430713,0.0286479628813542,39.8684772142934,34.63469493415526,19.72706366677254,20.908875546935395,-0.7152696830491881,1200180,940793
2022,S2,-8.361875433497701,-0.3790274411975114,-31.54731718273488,0.0704945332759442,0.0442614783957152,0.0262330548802289,37.21289249131152,34.63469493415526,19.72706366677254,20.828695940282493,-0.5758436701891315,1200180,940793
2023,S0,-8.246498873635966,-0.3141160678305791,-26.956575667887904,72125.96695840864,47564.17232700493,24561.794631403704,34.05402473920001,33.94746021758135,19.15739916752375,19.157399167523735,-0.5372437023591543,1207679,953913
2023,S1,-10.020293774974467,-0.3928229312041906,-32.485171530356126,74456.53364275982,45289.956880710706,29166.576762049117,39.17262238125328,33.94746021758135,19.15739916752375,19.572996287034,-0.6925411672942445,1207679,953913
2023,S2,-8.060975622900552,-0.3734804240264914,-31.166553901837467,73117.04355352801,46323.91895019877,26793.12460332924,36.6441575057864,33.94746021758135,19.15739916752375,19.13835411384318,-0.5642126181087123,1207679,953913
