sample,outcome,risk_quartile,mean_outcome,n_obs,weighted_n
childless_25_44,hourly_wage_real,Q1,33.49215279207521,343423,38225752.0
childless_25_44,hourly_wage_real,Q2,28.677453802893847,343423,39239740.0
childless_25_44,hourly_wage_real,Q3,25.605303013767536,343421,40227696.0
childless_25_44,hourly_wage_real,Q4,20.87270153214516,343426,44340648.0
childless_25_44,annual_earnings_real,Q1,64015.19611987809,343423,38225752.0
childless_25_44,annual_earnings_real,Q2,51707.94438409879,343423,39239740.0
childless_25_44,annual_earnings_real,Q3,44786.20330980456,343421,40227696.0
childless_25_44,annual_earnings_real,Q4,32311.50898785535,343426,44340648.0
childless_25_44,usual_hours_week,Q1,41.071032299666264,343423,38225752.0
childless_25_44,usual_hours_week,Q2,39.702402062235834,343423,39239740.0
childless_25_44,usual_hours_week,Q3,38.42410775521957,343421,40227696.0
childless_25_44,usual_hours_week,Q4,36.95078141503973,343426,44340648.0
childless_45_49,hourly_wage_real,Q1,36.73311633204828,98115,9935648.0
childless_45_49,hourly_wage_real,Q2,30.29193222138289,97155,9719467.0
childless_45_49,hourly_wage_real,Q3,24.910345588666146,95047,10005375.0
childless_45_49,hourly_wage_real,Q4,20.35637253085659,104756,11846601.0
childless_45_49,annual_earnings_real,Q1,71983.91096760101,98115,9935648.0
childless_45_49,annual_earnings_real,Q2,57503.49240013697,97155,9719467.0
childless_45_49,annual_earnings_real,Q3,44463.016526965424,95047,10005375.0
childless_45_49,annual_earnings_real,Q4,34396.026439446934,104756,11846601.0
childless_45_49,usual_hours_week,Q1,41.50309421187224,98115,9935648.0
childless_45_49,usual_hours_week,Q2,39.80405756817735,97155,9719467.0
childless_45_49,usual_hours_week,Q3,39.04994165635971,95047,10005375.0
childless_45_49,usual_hours_week,Q4,38.175020835090166,104756,11846601.0
childless_50_54,hourly_wage_real,Q1,38.338092882195994,161304,15093450.0
childless_50_54,hourly_wage_real,Q2,31.88403704955503,162259,15182866.0
childless_50_54,hourly_wage_real,Q3,25.727292846415168,164376,15595871.0
childless_50_54,hourly_wage_real,Q4,21.47248692515765,154663,16001748.0
childless_50_54,annual_earnings_real,Q1,73171.48039721817,161304,15093450.0
childless_50_54,annual_earnings_real,Q2,58382.553948678404,162259,15182866.0
childless_50_54,annual_earnings_real,Q3,45396.07378287529,164376,15595871.0
childless_50_54,annual_earnings_real,Q4,34961.78852182587,154663,16001748.0
childless_50_54,usual_hours_week,Q1,41.01949223007331,161304,15093450.0
childless_50_54,usual_hours_week,Q2,39.058721456146685,162259,15182866.0
childless_50_54,usual_hours_week,Q3,38.532015044238314,164376,15595871.0
childless_50_54,usual_hours_week,Q4,37.75601678016677,154663,16001748.0
