normalized_outcome,risk_quartile,mean_outcome,n_obs,weighted_n,raw_variance_ratio,residual_variance_ratio,female_top10_share,male_top10_share,female_to_male_top10_ratio,female_penalty_coef,female_penalty_n_obs
hourly,Q1,33.49215279207521,343423,38225752.0,,,0.1000805661567632,,,0.4383720467038166,1373693.0
hourly,Q2,28.677453802893847,343423,39239740.0,,,0.1006474502413953,,,0.4383720467038166,1373693.0
hourly,Q3,25.605303013767536,343421,40227696.0,,,0.1000848107230649,,,0.4383720467038166,1373693.0
hourly,Q4,20.87270153214516,343426,44340648.0,,,0.1002039645929435,,,0.4383720467038166,1373693.0
annual,Q1,64015.19611987809,343423,38225752.0,,,0.1001442292642963,,,3.484753518595423,1373644.0
annual,Q2,51707.94438409879,343423,39239740.0,,,0.1010831625634073,,,3.484753518595423,1373644.0
annual,Q3,44786.20330980456,343421,40227696.0,,,0.1000414546737926,,,3.484753518595423,1373644.0
annual,Q4,32311.50898785535,343426,44340648.0,,,0.101047961179165,,,3.484753518595423,1373644.0
usual_hours_week,Q1,41.071032299666264,343423,38225752.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q2,39.702402062235834,343423,39239740.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q3,38.42410775521957,343421,40227696.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q4,36.95078141503973,343426,44340648.0,,,,,,9.547554500793185,1373693.0
hourly,Q1,36.73311633204828,98115,9935648.0,,,0.1000805661567632,,,0.4383720467038166,1373693.0
hourly,Q2,30.29193222138289,97155,9719467.0,,,0.1006474502413953,,,0.4383720467038166,1373693.0
hourly,Q3,24.910345588666143,95047,10005375.0,,,0.1000848107230649,,,0.4383720467038166,1373693.0
hourly,Q4,20.35637253085659,104756,11846601.0,,,0.1002039645929435,,,0.4383720467038166,1373693.0
annual,Q1,71983.91096760101,98115,9935648.0,,,0.1001442292642963,,,3.484753518595423,1373644.0
annual,Q2,57503.49240013697,97155,9719467.0,,,0.1010831625634073,,,3.484753518595423,1373644.0
annual,Q3,44463.016526965424,95047,10005375.0,,,0.1000414546737926,,,3.484753518595423,1373644.0
annual,Q4,34396.026439446934,104756,11846601.0,,,0.101047961179165,,,3.484753518595423,1373644.0
usual_hours_week,Q1,41.50309421187224,98115,9935648.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q2,39.80405756817735,97155,9719467.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q3,39.04994165635971,95047,10005375.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q4,38.175020835090166,104756,11846601.0,,,,,,9.547554500793185,1373693.0
hourly,Q1,38.338092882195994,161304,15093450.0,,,0.1000805661567632,,,0.4383720467038166,1373693.0
hourly,Q2,31.88403704955503,162259,15182866.0,,,0.1006474502413953,,,0.4383720467038166,1373693.0
hourly,Q3,25.727292846415168,164376,15595871.0,,,0.1000848107230649,,,0.4383720467038166,1373693.0
hourly,Q4,21.47248692515765,154663,16001748.0,,,0.1002039645929435,,,0.4383720467038166,1373693.0
annual,Q1,73171.48039721817,161304,15093450.0,,,0.1001442292642963,,,3.484753518595423,1373644.0
annual,Q2,58382.5539486784,162259,15182866.0,,,0.1010831625634073,,,3.484753518595423,1373644.0
annual,Q3,45396.07378287529,164376,15595871.0,,,0.1000414546737926,,,3.484753518595423,1373644.0
annual,Q4,34961.78852182587,154663,16001748.0,,,0.101047961179165,,,3.484753518595423,1373644.0
usual_hours_week,Q1,41.01949223007331,161304,15093450.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q2,39.058721456146685,162259,15182866.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q3,38.532015044238314,164376,15595871.0,,,,,,9.547554500793185,1373693.0
usual_hours_week,Q4,37.75601678016677,154663,16001748.0,,,,,,9.547554500793185,1373693.0
